experiment,model,metric,value,scope,notes
constant-probability-baseline,Constant probability baseline,log_loss,1.09794,public leaderboard,reference baseline
tfidf-logistic-regression,TF-IDF logistic regression,log_loss,1.11052,local validation,reference baseline
modernbert-frozen-head,ModernBERT frozen classifier head,log_loss,1.07855,public leaderboard,encoder baseline
modernbert-lora-fold1,ModernBERT-large LoRA,log_loss,1.0121814649,fold 1 validation,2048-token input
modernbert-lora-fold1-public,ModernBERT-large LoRA,log_loss,1.01474,public leaderboard,fold 1 inference
modernbert-lora-folds23-oof,ModernBERT-large LoRA,log_loss,1.02492324596,selected-fold validation,folds 2 and 3
modernbert-lora-three-fold,ModernBERT-large LoRA,log_loss,1.01414,public leaderboard,three-fold inference
gemma2-lora-fold1,Gemma-2 9B LoRA,log_loss,0.9965459017,fold 1 validation,2048-token input
gemma2-qlora-id-mod5-validation,Gemma-2 9B 4-bit QLoRA,log_loss,0.9371,id % 5 == 0 validation,1024-token training input
gemma2-qlora-leaderboard,Gemma-2 9B 4-bit QLoRA,log_loss,0.941,public leaderboard,2048-token inference
